sim_sample,gb_census_mun_true,gb_census_mun_constrain,gb_census_mun_direct,gb_gis_mun_true,gb_gis_mun_constrain,gb_gis_mun_direct,gb_all_mun_true,gb_all_mun_constrain,gb_all_mun_direct,gb_census_psu_true,gb_census_psu_constrain,gb_census_psu_direct,bart_census_mun_true,bart_census_mun_constrain,bart_census_mun_direct,bart_gis_mun_true,bart_gis_mun_constrain,bart_gis_mun_direct,bart_all_mun_true,bart_all_mun_constrain,bart_all_mun_direct,bart_census_psu_true,bart_census_psu_constrain,bart_census_psu_direct,rf_census_mun_true,rf_census_mun_constrain,rf_census_mun_direct,rf_gis_mun_true,rf_gis_mun_constrain,rf_gis_mun_direct,rf_all_mun_true,rf_all_mun_constrain,rf_all_mun_direct,rf_census_psu_true,rf_census_psu_constrain,rf_census_psu_direct,lasso_census_mun_true,lasso_census_mun_constrain,lasso_census_mun_direct,lasso_gis_mun_true,lasso_gis_mun_constrain,lasso_gis_mun_direct,lasso_all_mun_true,lasso_all_mun_constrain,lasso_all_mun_direct,lasso_census_psu_true,lasso_census_psu_constrain,lasso_census_psu_direct,ols_census_mun_true,ols_census_mun_constrain,ols_census_mun_direct,ols_gis_mun_true,ols_gis_mun_constrain,ols_gis_mun_direct,ols_all_mun_true,ols_all_mun_constrain,ols_all_mun_direct,ols_census_psu_true,ols_census_psu_constrain,ols_census_psu_direct,eb_true,eb_constrain,eb_direct,uc_true,uc_constrain,uc_direct
153,0.847191395859448,0.8426917198548097,0.5773959996291222,0.6379365535627053,0.6289135664017169,0.494006605682622,0.8697385225129972,0.8668953442561373,0.641679707117599,0.873766393031912,0.8663056578525193,0.5597397466647709,0.8674186212630173,0.8651991932379681,0.6241706946011228,0.6566470284330963,0.6498486509116542,0.5495772013948956,0.8700377587062859,0.8666878226236618,0.649616161886345,0.8780197989137054,0.8732707655705652,0.5604078594442052,0.8734937962117074,0.8717966377176078,0.7119721238935486,0.7003368833981346,0.6941058707999863,0.6702437506701913,0.863157940479771,0.8603131056667239,0.6297315948761959,0.8729274789655788,0.8605717369206494,0.5736524211167482,0.8424861680488069,0.7990090722117358,0.5240759345647505,0.30045104678360424,0.2756728741456411,0.2125672430123524,0.8465126918436149,0.8013926056150338,0.5319243566131533,0.8466772055017427,0.8196998124040853,0.5222438108963814,0.550133381788217,-1.6226005625035165,0.36728678201814857,0.54588405410793,0.5412074107807394,0.4071212928501019,0.8332339265853443,0.8298849100406456,0.5880605840501246,0.7198735997833571,-1.006912315661379,0.44568110552972695,0.9044153124309884,0.8997540135821406,0.6464081630093059,0.8736691261966321,0.8167733135715995,0.674062160451598
154,0.8706737278603879,0.8702897809476886,0.6369261094613269,0.718864083129912,0.7099069817342645,0.6420383230026766,0.8630033514301276,0.8621299805275882,0.6391650272191587,0.8981446823047875,0.8927147961828336,0.6337299762906258,0.876556469812275,0.8764862498064588,0.6517243149032932,0.6228637066528504,0.5941472474568503,0.4616924970885151,0.8698831893369248,0.869732058072526,0.6509681015855209,0.8892460887025921,0.8862078315524836,0.5910122072599908,0.8662790648407545,0.8658700217108335,0.6455247749304001,0.7454815242308528,0.737013606906072,0.7429714850086564,0.8479111837634725,0.8446582817382589,0.6090786453270504,0.8795269415639837,0.869040230986206,0.5861798749204671,0.8372664532994493,0.8146822686110295,0.5438366887926095,0.4082929069235375,0.3919275938939887,0.2636565389124248,0.8388522258240436,0.8159296670197809,0.5450449893302787,0.8483788209969351,0.8362985246585947,0.5381848384489533,0.6426569066890631,-1.558202980064988,0.4073627979426676,0.5373777842886616,0.5360703692917772,0.37590603994905725,0.8299305773902756,0.8266527477825285,0.5962665630468138,0.715492438933216,-0.8331581955850207,0.4604885543124494,0.8946503891928597,0.8893869659097439,0.6765572648372571,0.8715715312530418,0.8039042106211655,0.6907838692913401
155,0.8615440370924825,0.8604821941165635,0.7009624604129752,0.6658019688420629,0.5694247703877021,0.9923960145158832,0.8678195647920088,0.8666305652952845,0.6821311126829073,0.8813790857463217,0.8759738900678645,0.5883965424798933,0.8726058625771,0.8714068210833406,0.6678459776589172,0.6506367947382026,0.6465453783261983,0.574209704105773,0.8625231325684232,0.8611968063163888,0.7497984816670145,0.8819530193795504,0.8780494531026537,0.5878001402212616,0.8696652574623247,0.8685894286407405,0.6900010453211679,0.6577852943523655,0.6539223597303829,0.6286177458675597,0.8699063269451213,0.8685029386772886,0.728105649183479,0.8933067691684691,0.8850764863742326,0.622239963140724,0.8497278568557829,0.8072634045469104,0.5644097408269277,0.4112044510974058,0.3918947985728859,0.2832408318820743,0.8604867724287397,0.8162217057045622,0.5699619479169606,0.8526610729352864,0.8249370308107276,0.5513119659011484,0.6030253630588169,-1.609429239069577,0.424348289598404,0.5437753544481132,0.5371924638952348,0.4343916249001919,0.8203660847063541,0.8151193657442083,0.6206314875336856,0.6947511155956388,-0.9399225966698079,0.47408920600111404,0.9005537162482035,0.8942565808524479,0.6719233670570748,0.8728186850348882,0.8243110391755756,0.667784216524597
156,0.8743354486996182,0.8713140474957659,0.6125858921909237,0.7253180389750541,0.7219632892141057,0.7184643425318888,0.8726826072452994,0.870285897323458,0.6505825190709456,0.8737378550507198,0.8672533532400459,0.5564280327811979,0.8782297197273625,0.8762217694322352,0.6162037728289647,0.6386630567501437,0.6268433216201674,0.47498960467904616,0.8758935102855315,0.8723105829426585,0.643692292682209,0.8845095389849584,0.88004610792511,0.5682236475175308,0.8705102278466168,0.8694482771434444,0.6987575805269962,0.683819748775377,0.6737103253779826,0.592933170393434,0.8783108927796907,0.8776285901038955,0.7684420817694985,0.8858354112239327,0.8733536599364865,0.5894382005862226,0.8486694844770764,0.8157164488127826,0.5286772562153967,0.4412491838975542,0.41116284238223866,0.2682743621374776,0.8531497856262963,0.8207580290228453,0.5331973651267811,0.8514557150694502,0.8168463030337665,0.5252472661515999,0.5909610293008518,-1.6475168569170942,0.3815599411246061,0.5647161744508064,0.5634539148079245,0.40619685415177953,0.8325776620161935,0.8315969590086975,0.5839067547729254,0.7073249035285104,-0.9661117703940798,0.44214343676988954,0.8885749900862225,0.8805598198760671,0.6602234803437732,0.8654912911253128,0.815519908575842,0.6500117009592956
157,0.8676088182840175,0.8665311210307357,0.6456146881040592,0.6355515715456894,0.6320620758074307,0.5267328483701915,0.8702235475484169,0.8696090143511832,0.6662030807991332,0.8799803483438198,0.8756924436051686,0.6045942051856055,0.8737379909794224,0.8728203869178187,0.6603614021569962,0.6196791644912558,0.6149808360805882,0.49790669076640415,0.8706912089516259,0.8699013974697524,0.6764340125037998,0.872087610851881,0.8698127619961278,0.5881773438615032,0.8802460523689382,0.8795283611685253,0.7639090498453007,0.6618364329620425,0.6574757801700502,0.5829447503518324,0.8778764531483112,0.8765064345377811,0.6976042043577505,0.8648659258968164,0.8526153811045163,0.5844643359629023,0.8392426687092033,0.8033422351856331,0.5564703664340847,0.39381190958455514,0.38285484804617687,0.2817147690024211,0.837326881276004,0.8054997738129684,0.5622210598165975,0.8394467226240341,0.8151679166749392,0.5512301448656025,0.6352998962432262,-1.6323113708411792,0.4258363205648452,0.544963715932109,0.5388070097808172,0.41003509313402475,0.8338696520419728,0.8273447341545259,0.6095629617401823,0.7122277462981299,-0.9318906055286913,0.46220407312237133,0.8921280600910514,0.8879496640801282,0.6678611124644127,0.8731578523737402,0.8174629135609699,0.6579852485381207
158,0.8570093233135813,0.8567935742153714,0.6410127181428781,0.7038582604611954,0.7009419174551568,0.6574087636618313,0.8587537640423473,0.8584742841628034,0.732967482843138,0.8784671183924081,0.868832095191131,0.5866787550299164,0.8719327687133592,0.8718802694200497,0.6407858609192782,0.6526687557571881,0.6414625276289456,0.5365441624816674,0.8716474591486073,0.8713075187248227,0.6755956107813424,0.8859062108637524,0.8780451412834944,0.5856361176258456,0.880546610497766,0.8804373157191844,0.7161464280447022,0.5525208486370325,0.5422841713483733,0.40231466597019894,0.8711351241247555,0.8672660062777516,0.6640269625865214,0.8841883180183883,0.8710812549100284,0.5986098857219606,0.8551727572952796,0.8277598170157386,0.5558566170199639,0.46529122296685854,0.4498880714991962,0.30323556019060594,0.8600631316594763,0.8345269691386971,0.5690542860604757,0.8520155944401138,0.8195017550878791,0.5499618242960087,0.568118400883994,-1.6264956190194133,0.40873238731271133,0.5499950444355606,0.5480319247435446,0.39660539710296683,0.8402779222672004,0.8372701945366929,0.6062559435620936,0.7254971917230467,-0.978342355807363,0.4837023895986019,0.8774164815370664,0.8653269271583126,0.6908925920803315,0.8684258619561901,0.8022245502319244,0.6658898793805583
159,0.8758631267037715,0.8751233146961237,0.6626870602058439,0.6053156363717819,0.595211098200932,0.4794457251703965,0.8677675283690472,0.867160746835306,0.657369067715567,0.882683051545517,0.872486872314078,0.6054670854920613,0.8792100264681927,0.8781060425820979,0.6694333784004831,0.6344299220271528,0.6266985792832728,0.5051845953804563,0.8833663861260928,0.8822985194892287,0.6888582499896576,0.8830153569908845,0.8759484785669113,0.6041878954591562,0.8893956221263457,0.88828878010543,0.7537660828297631,0.7115791345450906,0.7087264305988067,0.6764153831171972,0.8905033832540896,0.8890696351600377,0.7637484812984869,0.8863360517256991,0.8746933022173571,0.633647078670605,0.843866117043797,0.7997195522009544,0.5642691909899443,0.44918551201267054,0.4284375126591352,0.3153718767607442,0.8495495414973516,0.8063870350480014,0.5708668129898553,0.8441288944126896,0.8001789958663577,0.5512612781169072,0.6297648987614788,-1.6515211734617727,0.4230249900192715,0.5553053411467367,0.5449774127762433,0.44656906628837323,0.8240898038548754,0.8146536914491991,0.6295185367454994,0.7107468818746183,-0.9994702489471208,0.4725541602378135,0.9067043501046439,0.8948142124801683,0.6818319490689576,0.8771591962208377,0.8322406996058327,0.6860971439451038
160,0.8766485415220941,0.8702285524230093,0.6486769980157328,0.6442114633550229,0.620227705295548,0.4934511223895274,0.883573573176711,0.8771001163313735,0.6861526483937703,0.8835998742191347,0.8745989202322224,0.5969526228493222,0.8757890091239823,0.871357924630335,0.7354022348733186,0.6401529907676198,0.6134219749016678,0.49865662081807516,0.8806015693211324,0.876194100172242,0.7621468771115439,0.8857330186576572,0.8782863516544301,0.5995823844178498,0.8894660986254789,0.8829763979706823,0.7039972493617603,0.7316266282218478,0.7158186673553196,0.6615805838360109,0.885072152670224,0.880370165029331,0.7542932783620203,0.8895100965513422,0.8788817584954525,0.6250024257761365,0.8564745053017033,0.8150297176480965,0.5673031529480654,0.45204142398985037,0.4213878013391278,0.2993546738720292,0.8502693180259328,0.8127508662837473,0.5542350943067087,0.8502216686512692,0.8268148854996398,0.5440622131498865,0.6620685338537131,-1.5334571029263362,0.4608857371538776,0.5677837411083199,0.5627091015333772,0.42759505528797415,0.8380725503570055,0.8326935695809139,0.6286636961873935,0.7131851340504602,-0.8569895721443557,0.4660151811309915,0.908622350922709,0.8998004142036156,0.6643753893770102,0.8853451132743296,0.8008303751747048,0.6461438303149913
161,0.8828946164371377,0.8819638100772889,0.6461813011120501,0.7296685617185481,0.7263899668444692,0.8691660285418952,0.8763296926762043,0.8741832278388345,0.6456439383303052,0.8931833041812218,0.8880071648256256,0.6141042015282979,0.8898338635642986,0.8888006259088082,0.6391063656693381,0.6413625803149536,0.6190010680777405,0.5559694621505706,0.8837523598109038,0.8811102387681409,0.6660298876188991,0.8888038315870123,0.8824130196298665,0.5886792890011905,0.8835895474403053,0.8826228763355901,0.6702722478735903,0.5425137959035615,0.5400406518662526,0.4400404285889393,0.8693778913438558,0.8682143284047963,0.7817739182886124,0.8888359719722274,0.8751679811189493,0.6082765229172141,0.8549289713601051,0.820769261540032,0.5540858561797289,0.3823854141655981,0.37402939966520343,0.25578481567319766,0.8586451363359261,0.8248799663577867,0.5598611914017436,0.8402345897617467,0.815551181887777,0.543286289835804,0.6866183535927546,-1.617931226859171,0.451982422659174,0.5266630929618128,0.5180444912419369,0.42180864680870445,0.8319310157883769,0.8255334576691401,0.6196331509889001,0.7120631963000932,-0.9414823326291017,0.4526803428076447,0.8862555061633265,0.882009006639609,0.6693801665616,0.8712578607382576,0.8155355704729919,0.6735022654026184
162,0.8454086111871053,0.8444543750130762,0.6413484345201922,0.6681013223837816,0.6547515877091109,0.5637796770247696,0.8492489428384747,0.8491210701337181,0.7022642007545716,0.8545634230556302,0.8509865966352355,0.566890524000631,0.8580675212998263,0.8573579091866014,0.6340030507334622,0.658081331768456,0.6212800918074526,0.5493850940549521,0.8546865177308742,0.8537456193685755,0.6758616121190703,0.8648722340437388,0.8629103008580256,0.5757030517475036,0.8492135632937248,0.8466370344095993,0.8194860061858242,0.6662853362006311,0.6568482897810243,0.5774077306990189,0.8560129030817627,0.8554288544270787,0.7530506368909763,0.8540121702570957,0.8430074205088488,0.5681298332726505,0.8211186805159751,0.772012578927809,0.5429409702908152,0.3925889938264304,0.3739622868129473,0.25035766204398724,0.8316928686347844,0.7838375150549051,0.5610469452612635,0.8243834265457445,0.7933589499091183,0.5313323613080028,0.5699424617473108,-1.7693014410311596,0.3870656159484259,0.5258405960772552,0.5210370359264231,0.39118088299744813,0.8039017595383219,0.7953091812592277,0.608961400117033,0.6869516052021967,-1.040000138445651,0.4387945172082792,0.8882115861363902,0.8809336191252587,0.6775986031767336,0.8626096060588562,0.8119893844701476,0.6808282459748417
163,0.8932191966907866,0.8916123076460019,0.749781123771867,0.7562341315277855,0.751860419510803,0.7227457259012098,0.8821695137530611,0.8818235612440247,0.6881566650221207,0.8781220549547776,0.8688994075950265,0.6186271900036868,0.8873596100762381,0.8865262713295651,0.6865604626462555,0.6474888641010962,0.6442343969549429,0.4983936556109967,0.8893722226300511,0.8892331872705241,0.7050199728081319,0.89027375184572,0.8856105302374854,0.6321387846065023,0.8786573422124572,0.8786010541126869,0.6768240969131276,0.7293959674178179,0.7274739409643622,0.6886577491411612,0.8923745438240491,0.8921409565943706,0.7827834381039532,0.8921999352584481,0.88372164090397,0.6529128257476132,0.8530711742371666,0.8323660663049208,0.5897522113230178,0.45744717668267454,0.44902068260650174,0.31202434717400795,0.8607122817570132,0.8395096442979931,0.6004509701473799,0.852525712046331,0.837955380061151,0.5885533719091705,0.6675603495645114,-1.537033658435499,0.4664434171480547,0.5672312991486991,0.5641926979823582,0.4135633841729175,0.8565238226638425,0.8505600827363257,0.6365714437338028,0.7252862907525784,-0.8629861672951022,0.5061469519937465,0.8889846922395733,0.885895321169915,0.6843541580271975,0.8761494164099547,0.8066089888733563,0.6725752754180387
