muni,mse_gb_census, mse_gb_gis,mse_gb_all,mse_gb_psu,mse_bart_census,mse_bart_gis,mse_bart_all,mse_bart_psu,mse_rf_census,mse_rf_gis,mse_rf_all,mse_rf_psu,mse_lasso_census,mse_lasso_gis,mse_lasso_all,mse_lasso_psu,mse_ols_census,mse_ols_gis,mse_ols_all,mse_ols_psu,mse_gb_hhid_demo,mse_gb_psu_wc,mse_gb_gis_ntl,mse_gb_all_ntl,mse_eb,mse_uc
1011011,0.0004723487300702079,0.001608814268173232,0.0005604657065581294,0.00012403526613084445,0.00043203833904647155,0.0005464323008556686,0.0005364584217507803,0.0001126396112119506,0.00047837868338712207,0.0005396350015757057,0.000635068114874393,0.00012960850805852892,0.0006751819713020131,0.002458190444144441,0.0006278680890274597,0.0001655073392353332,0.027215571161410695,0.002333651598766601,0.001598199828731082,0.02891318947172256,0.01119837988046454,0.0002862048767167559,0.001048601896661073,0.0004600942186299912,0.0014742574908647335,0.0004384932070378744
1021001,0.0004894165449167879,0.003952554896507729,0.0005715483272179157,9.548310925201373e-05,0.0003443833232335117,0.0011703056584741105,0.00045245327338750264,8.0171435632961e-05,0.0002541670757774213,0.007899159233627403,0.00037505458391702995,0.00013982939017837128,0.0044427531702270805,0.009912637965931339,0.004644196045725538,0.0010910519923227368,0.042709413601348625,0.008100296366676682,0.00432244866378004,0.02494126121280823,0.005000144500302177,9.937661294309032e-05,0.007221617983328399,0.0007820774940084644,0.0003084399341286071,0.0003833225217589611
1021002,0.0006203079361964778,0.006149718260439274,0.0010337340915846996,9.12003520368317e-05,0.00033995930222011116,0.0009694780009292091,0.00046120406874243096,5.6049950293390045e-05,0.00019589284982254383,0.003059827310840509,0.0005024430677162139,0.0001034706265370757,0.006070950652700081,0.002929203251840346,0.0061647989422851926,0.001806725184094747,0.0457090246730319,0.002993054161740549,0.0040521777356178216,0.029514418898599615,0.0026214972509242046,6.227620989062037e-05,0.00399351861518435,0.000888477989387933,0.00011429886341387506,0.00016757471929344092
1021003,0.0007009128605574376,0.005642978748719232,0.0009349455375516763,0.00018830564958800176,0.0003591357947428103,0.0010130142450287694,0.00047924606313871036,6.772675146433035e-05,0.00035113190018793984,0.0035962810467334697,0.0005584082884175205,0.0003258837126218706,0.004878250357953993,0.016105546567029075,0.003185198068479397,0.001263849037223362,0.04432441827856396,0.019169469663521854,0.004333250956129988,0.021674640148463927,0.002739766870570901,0.00014054827429188984,0.004302450572389643,0.0008968182205789409,0.0002770276374432092,0.00014562905832653228
1021004,0.0008442125224887377,0.005870936015354686,0.0012271849427692087,0.00026060279878056515,0.0002375181028685167,0.0007100040244275838,0.0005630071640540686,7.95473872031979e-05,0.0003690594907787916,0.0027396970270452663,0.000563010124350711,0.00025146779766169604,0.005346629264208306,0.022669281054258878,0.004137534348600672,0.0007796823492260288,0.05294501995717927,0.014070566942618582,0.005802063441510864,0.028169452258364414,0.0019047574014256995,0.0001692124130368778,0.003875349257227148,0.0010703321491767797,9.013730249493169e-05,9.178907632501926e-05
1021005,0.0004637164587416831,0.004582431208350693,0.0006809129991260932,0.00013985713568991835,0.00044060813581947453,0.0006747834762359738,0.0004570153679159012,0.00012032125851316326,0.0002695092231851441,0.0020333707089136327,0.00044483788463569555,0.00014110774922971198,0.002640316242055219,0.018229984120745,0.002050520839738114,0.0003616510855243418,0.03883401304982373,0.014093743537510289,0.005500780175488856,0.018213343137306316,0.0038569140219326613,6.787011175255096e-05,0.002782341163297791,0.0005578420437116781,0.00033750348453037905,0.00023206902731302449
1031001,0.000501312479745577,0.0021823523398633617,0.000480500355364069,0.0002202738359072163,0.0006597900584550939,0.004686678200984314,0.000502522810438516,0.0003545685794229838,0.0003999752872532953,0.006004015634902926,0.000426189015702561,0.00034483888176637344,0.00018608718881599386,0.003179275865846387,0.0002895132076112412,4.005135045741193e-05,0.05201683105532849,0.01747267512449678,0.0044595487117876295,0.03238000610023299,0.008824371984122016,0.00015390357881214575,0.005929202513718808,0.0004833286829562579,0.00023313773545914862,0.000641325189032123
1031002,0.002363306398753799,0.007317032009368631,0.0031328810473804387,0.002478928343668005,0.0015685791669066934,0.012578470311473158,0.003752054054247402,0.0020385083637682504,0.0027699896101864067,0.01433426624358509,0.0029866857701417826,0.004086623378965109,0.0007756142947527301,0.027149074354727677,0.0029589019497506183,0.0022159776417027288,0.05591860730727759,0.0012752952452485876,0.0012670045580439218,0.008064288396312392,0.0018517819597689783,0.001453089034160637,0.014363971370989817,0.0035323663068582193,0.0009902314491961447,0.00019718090995482994
1031003,0.0018021060019372476,0.0067856222351968315,0.0018426933236708753,0.0006028529281138131,0.0010480767808823135,0.0011917496363210568,0.0008858430896144027,0.0005205907941375473,0.0008677323037888621,0.005475609271500764,0.0009915433443379341,0.0005562395824465925,0.0014729387554641294,0.006323121672913046,0.0008565628803880739,9.636787779662835e-05,0.035892391710178204,0.006244634429081973,0.004527881317430309,0.02387396037160526,0.0020398928366397845,0.0003977867445063047,0.006212404470794443,0.001866803268799285,0.00014491994361323074,0.0001199808675366123
1031008,0.0014302512542827396,0.01176521941450895,0.002029139555511094,0.0004141065812535402,0.00037816168288905895,0.0010409615300150778,0.0004840141876492369,0.00014773806334686,0.0011009096706274452,0.006053236145246619,0.0013186468690168209,0.0005034854212740034,0.004885689748764305,0.01903764845285037,0.004108083315460261,0.0007268701608332356,0.012689602485551005,0.001982204889497546,0.0013900364234223756,0.021143931197110652,0.0008850835611210806,0.0003268385415100885,0.007828393650676165,0.0018157484509893778,4.7189681149983536e-05,0.00010514200750291247
1031009,0.0011074328321000783,0.006947332619690508,0.0012027273380213306,0.0013175308277871306,0.0006030920049646445,0.005589046558756608,0.0005315551055830705,0.0011320729368167342,0.0006119171550780622,0.013857118986586639,0.0006226926124992722,0.0018312230168956235,0.0010998381470577916,0.014549952070282562,0.0011919444627649638,0.00014160800042185064,0.030296752868359977,0.004773095803932855,0.003932874637058157,0.015653779294591948,0.002878919151773878,0.0007597992792627136,0.012906416893951302,0.001382236243194384,0.00040772559405928544,0.0003286099572374823
1041001,0.0007559027449315881,0.0023218925095306398,0.0007468066539896075,0.000533307698650618,0.0011704490572893506,0.004358122153562195,0.0012768790552827862,0.0008698187271962515,0.0005925403667741808,0.002053250393281609,0.0006169940443189023,0.00030070763638214137,0.00036469931706313243,0.005144879952764222,0.0004470671506976086,0.0006196853682302392,0.028248757593742884,0.0050541056948900445,0.006707594713154409,0.006527109361440494,0.023643735521499305,0.0005727785533222867,0.0024696775982072454,0.0006075174420179436,0.0007550054782758819,0.0012434072237019636
1041002,0.0013354386880942148,0.010183975030795442,0.0008768381041243227,9.024080856819383e-05,0.0015376582021511913,0.002094834171869185,0.0009284513910196601,0.00019533908221579813,0.001238953739441133,0.0022105128092192033,0.0008228763563505491,8.829992389633844e-05,0.0036305491839434046,0.018538502325211915,0.001993758425837036,0.0014498345219500924,0.038361171803433305,0.0367023508085913,0.0017598570981410507,0.013006196887577632,0.014295066237926592,0.00035877993085670204,0.0022726122835904352,0.001085124198152667,0.0002751403676098259,0.0018920242004014654
1041003,0.0003171276063764637,0.005758507410946617,0.0003222728525846582,0.000263346180915412,0.0005493083905403471,0.00442266792161167,0.0006622417644115305,8.633689152046113e-05,0.0002706767010243215,0.002798926153123164,0.00020886355202547773,0.00029686637745699775,0.002717340571294474,0.020515381792352985,0.0022538215726514567,0.0005749443377014595,0.01828650211818758,0.005113043472881849,0.004172655777377763,0.008755081803087587,0.007171364411330006,9.86946264242475e-05,0.0025929741504521083,0.00030041264243299207,0.0005508681781964749,0.0021693102784920482
1041004,0.0023563228661937076,0.005459026710983859,0.0027477683871400677,0.0012659327509741615,0.0014727713874337135,0.0023918946752462893,0.001670528808190232,0.0012735829723064475,0.0022988019940418753,0.005635161394457613,0.0028041996811363564,0.0012445113075675173,0.00017059776106089929,0.007560710134346267,0.000817364522368548,0.00014058664466692173,0.03298715253131747,0.004202675169094483,0.0044169803825393605,0.00794039354100546,0.012056247204374749,0.0012943830674444793,0.0020186957786411945,0.002431171499099682,0.00041264808845582415,0.0014017893974467492
