muni,yhat_1,yhat_2
1161050101,0.19780913,0.20725363
1161050102,0.16744009,0.1732242
1161050103,0.2064892,0.18571483
1161050104,0.21463275,0.19846871
1161050105,0.12222894,0.17638029
1161050106,0.17199291,0.20570071
1161050107,0.36146423,0.37100136
1161050108,0.39488196,0.36908513
1161050109,0.24665502,0.29064268
1161050110,0.39334422,0.38159522
1161050111,0.29049364,0.33570635
1161050112,0.3216305,0.32243475
1161050113,0.37025174,0.32773626
1161051101,0.13716196,0.10705519
1161051102,0.081233025,0.08055668
1161051103,0.13786073,0.1024309
1161051104,0.12536728,0.15081085
1161051105,0.10444315,0.1122178
1161051106,0.21185106,0.1836599
1161051107,0.24704236,0.1892674
1161052101,0.04606233,0.050227497
1161052102,0.08575476,0.07202287
1161052103,0.038436104,0.042111658
1161052104,0.056046113,0.050227497
1161052105,0.03213025,0.040065523
1161052106,0.044399966,0.061977524
1161052107,0.01862886,0.035914265
1161052108,0.05165957,0.03775872
1161052109,0.05666425,0.05035949
1161052110,0.05197729,0.052192837
1161052111,0.05295926,0.055989716
1161052112,0.25295666,0.31523356
1161052113,0.18762645,0.19587639
1161052114,0.1445882,0.15506943
1161052115,0.120952524,0.1544947
1161052116,0.17106089,0.19759835
1161053101,0.09203442,0.06248871
1161053102,0.101877645,0.05866898
1161053103,0.061218265,0.037717283
1161053104,0.051765103,0.0077183256
1161053105,0.079894915,0.046622127
1161053106,0.066107094,0.09441061
1161053107,0.0611187,0.050037775
1161053108,0.06628026,0.053573187
1161053109,0.081264615,0.05150355
1161053110,0.08078045,0.06495458
1161053111,0.15640853,0.14062501
1161053112,0.12845954,0.094429374
1161053113,0.09628047,0.061134852
1161053114,0.10667316,0.07148713
1161053115,0.07488654,0.055423114
1161053116,0.089535594,0.10667409
1161053117,0.05336024,0.045387283
1161053118,0.053681616,0.04065893
1161053119,0.049170144,0.053383496
1161053120,0.073191136,0.06871322
1161053121,0.052983206,0.044656232
1161053122,0.07072905,0.056076042
1161053123,0.10784041,0.06495458
1161053124,0.07805701,0.06495458
1161053125,0.06807325,0.076274864
1161053126,0.08207849,0.08578693
1161053127,0.17703165,0.16037294
1161053128,0.12206876,0.11769334
1161053129,0.15844443,0.16590483
1161053130,0.10202786,0.10667409
1161053131,0.09599808,0.121841215
1161053132,0.06666798,0.11122887
1161053133,0.07875601,0.07377248
1161053134,0.084005564,0.10756908
1161053135,0.0357583,0.048922706
1161053136,0.030761266,0.04175728
1161053137,0.06408381,0.08837405
1161053138,0.07532556,0.11122887
1161053139,0.07586493,0.07306049
1161053140,0.033999827,0.023692343
1161053141,0.033801485,0.054405846
1161053142,0.29400983,0.29696983
1161053143,0.1942741,0.17446883
1161053144,0.24801181,0.25866988
1161053145,0.05610799,0.036716584
1161053146,0.080526754,0.1049396
1161054101,0.24127959,0.1963609
1161054102,0.2724787,0.29807743
1161055101,0.21290806,0.1639748
1161055102,0.18949816,0.16438214
1161055103,0.1650132,0.16345623
1161055104,0.18969484,0.2063725
1161055105,0.16276824,0.1847105
1161055106,0.20014742,0.24568103
1161055107,0.1695089,0.16042918
1161055108,0.15356992,0.1301337
1161055109,0.21886761,0.17164536
1161055110,0.3006258,0.32646218
1161056101,0.35867652,0.3805924
1161056102,0.32957134,0.33513716
1161056103,0.23882507,0.24863641
1161056104,0.36029243,0.3694472
1161056105,0.5849204,0.5362414
1161056106,0.57142246,0.6146367
1161056107,0.72460175,0.7630087
1161057101,0.18693522,0.20998363
1161057102,0.20707412,0.2599718
1161057103,0.38472864,0.43875563
1161058101,0.20707792,0.16710757
1161058102,0.19630551,0.16577487
1161058103,0.23757805,0.20236363
1161058104,0.19184244,0.17033063
1161058105,0.17620014,0.15073562
1161058106,0.19649412,0.17462695
1161058107,0.21484192,0.21680582
1161058108,0.21244822,0.22893399
1161059101,0.23530918,0.25776738
1161059102,0.3023928,0.2646976
1161059103,0.18642463,0.20168202
1161059104,0.3723403,0.37668878
1161060101,0.25571203,0.25547543
1161060102,0.2355499,0.23680326
1161060103,0.17099541,0.1567587
1161060104,0.26368973,0.24863005
1161060105,0.32402202,0.3128669
1161061101,0.23322862,0.21749365
1161061102,0.36556005,0.35937577
1161061103,0.39986378,0.38751155
1161061104,0.53980017,0.59481263
1161061105,0.50560945,0.5188321
1161062101,0.19845158,0.15119316
1161062102,0.25105232,0.23170418
1161062103,0.21314003,0.20630687
1161062104,0.28474018,0.31320882
1161062105,0.2674173,0.2637844
1161062106,0.27593204,0.28504413
1161062107,0.25253248,0.24064167
1161063101,0.1975537,0.1560191
1161063102,0.20411065,0.17692618
1161063103,0.25324523,0.28910118
1161063104,0.30149838,0.2806622
1161064101,0.17023638,0.16685988
1161064102,0.23709989,0.19717675
1161064103,0.21282525,0.20276
1161064104,0.25696456,0.34067753
1161064105,0.26515898,0.33201998
1161064106,0.3882877,0.37954813
1161064107,0.38694426,0.36953968
1161064108,0.33840168,0.3934437
1161064109,0.30821913,0.3095748
1161065101,0.16613558,0.14866726
1161065102,0.14982803,0.13950716
1161065103,0.22761993,0.24278879
1161065104,0.19760013,0.23960114
1161065105,0.31833488,0.3080412
1161065106,0.33834025,0.39750925
1161065107,0.4284882,0.34118697
1161065108,0.588779,0.5859895
1161065109,0.6585191,0.575972
1161066101,0.20462959,0.19666636
1161066102,0.1908288,0.19605452
1161066103,0.14135651,0.09605997
1161066104,0.1691642,0.14007664
1161066105,0.098771974,0.07777389
1161066106,0.1705179,0.16618803
1161066107,0.16368142,0.23934792
1161066108,0.1461985,0.13309912
1161066109,0.1723745,0.13334052
1161066110,0.2956681,0.2965202
1161066111,0.45713258,0.39583632
1161066112,0.29300174,0.29218608
1161067101,0.16151375,0.16887507
1161067102,0.26033822,0.2247914
1161067103,0.3241019,0.2551346
1161067104,0.39017853,0.4050435
1161068101,0.13032515,0.19729374
1161068102,0.12711196,0.13004626
1161068103,0.17856276,0.13960905
1161068104,0.18558903,0.162702
1161068105,0.2094925,0.1651579
1161068106,0.1884878,0.20315082
1161068107,0.16581732,0.13299164
1161068108,0.2640422,0.27371597
1161069101,0.092126295,0.07666945
1161069102,0.15974003,0.15786372
1161069103,0.15722999,0.1385711
1161069104,0.12222894,0.08577799
1161069105,0.046004117,0.04307968
1161069106,0.14310654,0.09206367
1161069107,0.111872345,0.15302515
1161069108,0.09909769,0.07112853
1161069109,0.12377975,0.08944504
1161069110,0.10152618,0.07402413
1161069111,0.18146391,0.25248078
1161069112,0.21610396,0.21740551
1161070101,0.16277133,0.17003801
1161070102,0.15401481,0.10325461
1161070103,0.1888849,0.1523252
1161070104,0.2053873,0.23213391
1161070105,0.11669419,0.1031206
1161070106,0.12984748,0.13967891
1161070107,0.16102852,0.21455775
1161071101,0.1105686,0.07839054
1161071102,0.11747947,0.10442763
1161071103,0.17222351,0.18990202
1161071104,0.20480554,0.17446883
1161071105,0.14552335,0.16640653
1161071106,0.28412786,0.21280017
1161071107,0.24924614,0.22659317
1161071108,0.31358808,0.35371733
1161072101,0.1848415,0.16089346
1161072102,0.23053986,0.20609266
1161072103,0.18415755,0.17531493
1161072104,0.25157198,0.20609266
1161072105,0.31297338,0.29888242
1161072106,0.31939322,0.29645234
1161073101,0.14205523,0.07909528
1161073102,0.186321,0.19133371
1161073103,0.19939396,0.19825047
1161073104,0.24814259,0.16310039
1161073105,0.14772138,0.15724388
1161073106,0.2127381,0.20439747
1161073107,0.4993206,0.49470726
1161073108,0.32882258,0.45366582
1161073109,0.35289314,0.33594358
1161073110,0.6192811,0.50149685
1161074101,0.18427391,0.16907154
1161074102,0.19955525,0.1527097
1161074103,0.18713312,0.22806357
1161074104,0.3052529,0.32006702
1161075101,0.091861114,0.07423848
1161075102,0.20754278,0.19695958
1161075103,0.12826668,0.06663996
1161075104,0.11489063,0.091578156
1161075105,0.10860806,0.0697685
1161075106,0.0857103,0.04977519
1161075107,0.14178349,0.14729951
1161075108,0.121664256,0.10098722
1161075109,0.41552866,0.44750968
1161075110,0.4691591,0.5521896
