muni,pov_rank,pop_rank,_population,value,measure,variable,model_t,dtype,level,min,gap
1081027,17,49,1,.0048435703,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081028,29,1,1,-.060496256,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081029,9,48,1,-.019312661,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081030,34,13,1,.1442235,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081031,40,29,1,.04682415,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081032,45,43,1,-.0093732793,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081034,33,4,1,-.0077347988,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081035,39,13,1,.070694186,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081036,38,35,1,-.027444297,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081037,43,50,1,-.039915703,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081038,44,2,1,.047299322,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081039,38,7,1,-.0071132928,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081040,39,25,1,.020633901,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081043,35,1,1,.031257965,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081044,40,8,1,.060336422,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081045,45,31,1,-.0080446079,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081046,11,5,1,.14708339,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081048,41,22,1,.022287471,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081050,45,36,1,-.018060537,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081051,43,7,1,.18375619,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081052,47,28,1,.0051878854,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081053,27,4,1,-.097518504,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081054,47,10,1,.13185865,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081055,44,23,1,.018701471,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081058,48,1,1,.063240923,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081059,45,3,1,.019306557,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081060,47,17,1,.020558517,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081061,33,1,1,.035872735,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081062,46,32,1,.0042760912,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081066,19,5,1,.14424945,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081067,35,1,1,.0046819937,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1091002,48,46,1,.016685687,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1091003,48,49,1,.020714361,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1091004,50,47,1,.037763622,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1091005,48,50,1,.03423157,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1091006,49,48,1,.034469042,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1091007,46,50,1,.022196319,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1091008,49,47,1,.049361825,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1091009,40,48,1,.034701701,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1091010,49,50,1,.039541058,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1091011,45,48,1,.014056636,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1091012,48,50,1,.0265046,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
