muni,bias_gb_census, bias_gb_gis,bias_gb_all,bias_gb_psu,bias_bart_census,bias_bart_gis,bias_bart_all,bias_bart_psu,bias_rf_census,bias_rf_gis,bias_rf_all,bias_rf_psu,bias_lasso_census,bias_lasso_gis,bias_lasso_all,bias_lasso_psu,bias_ols_census,bias_ols_gis,bias_ols_all,bias_ols_psu,bias_gb_hhid_demo,bias_gb_psu_wc,bias_gb_gis_ntl,bias_gb_all_ntl,bias_eb,bias_uc
1301194,0.001745766180556274,-0.19654264813944383,-0.03346668001944392,-0.059027140287942925,0.004124239721629119,-0.2139939600432124,-0.03587188943311459,-0.04896894064732882,-0.02200488987801441,-0.19773521849715284,-0.050808457394381945,-0.077889979126048,-0.05289143425579662,-0.26456905569740463,-0.05655978095019537,-0.052628892468991384,-0.29360431950798926,-0.1584321074509213,-0.036809963074307894,-0.3467469612082794,-0.13621708912510222,-0.03872046242548344,-0.1796257872994438,-0.03820480423944417,-0.05140946947806515,-0.10331260003824719
1301195,-0.014304268270371456,-0.12637869241037147,-0.005420194850371374,-0.029870664953937975,-0.03973839019267522,-0.14083822974892102,-0.04342707767283216,-0.038543805476621396,-0.004548253039348138,-0.12457610076263237,-0.00033201498819968034,-0.02708879720185109,-0.14048846009493543,-0.17680667993514515,-0.145851764447685,-0.10150343704741627,-0.4752000661069898,-0.06877346283844965,-0.14134750526018958,-0.3423726436766768,0.1715705011685279,0.006952510353451791,-0.14515395387037133,-0.01780495323037201,-0.10950944691943004,-0.17689760609460065
1301196,0.03606689385741951,0.08587657075741942,0.04745965317741954,0.026850358126703028,0.026461222175013177,0.10398005136058505,0.05886022627349305,0.022214766274447212,0.034168517405934656,0.08454254897021554,0.04587428808600863,0.024728826500509504,0.020078628634186885,0.06559280085002603,0.031424794837430825,0.0254340098010436,-0.3126468022500276,0.07504916997880309,0.062180260294322026,-0.26744404494928287,-0.13013588709677415,0.03220204467923196,0.09774009428541944,0.04250548229741935,0.03517006611614488,0.00576364114478929
1301197,-0.12390827114927555,-0.13576094312927534,-0.09976525860927538,-0.14888814955074453,-0.11944420775772768,-0.1170986161764005,-0.10734394802597685,-0.13540701415780743,-0.11299624535882685,-0.09819135650662858,-0.08939443613100045,-0.14918732332055334,-0.1464965261103059,-0.16452697015887374,-0.16611252483083183,-0.16882320833920383,-0.5210924279731894,-0.11796369084726471,-0.15256303530954063,-0.42085748616565416,-0.12194429347826086,-0.12247065664061152,-0.053263093249275695,-0.10913015412927518,-0.14275580592406914,-0.19583047112822533
1301198,-0.008283133594679581,0.06787699266531977,0.037602258585320514,-0.01929575498012942,0.016577748574402196,0.09113046724573903,0.06158666068164276,-0.0057323262629206395,-0.00260898195767012,0.07096789864024766,0.03803452213905245,-0.02392357467122541,-0.07526901686515203,0.06010251451183268,-0.037491846142828855,-0.08519789317121501,-0.47353618588042024,0.10455820247075442,-0.006764556502021957,-0.35671539487061044,0.07100449671394016,0.010188356216609296,0.045601195585320164,0.020979757285319756,-0.049275683202315124,-0.13924449659744279
1301199,0.039724117286347504,0.03904677028634734,0.04409168266634733,0.03532741998024913,0.059063025433142013,0.015538786779992153,0.06305454972915359,0.05893225090484455,0.02096988883488554,0.041207741554103006,0.040568883409192125,0.025171419147573038,0.020305572649054415,0.005291723865766262,0.02071716006563068,0.01967532470836847,-0.17807438461558867,0.08433381038592308,0.064520940377021,-0.22892976314040622,-0.14269818514564594,0.019283986126354347,0.036814806466347494,0.04128283154634771,0.043704688059689946,0.008749946565760183
1301200,0.059290975931542145,0.0486599162115422,0.06901194497154228,0.04257628196351959,0.05575417430440888,0.07338373976468887,0.0789366442470682,0.036654795634452564,0.0727860708751294,0.02689045326347239,0.07473606686673889,0.045023330370983605,0.017250165710374132,0.014496959894453376,0.015954086985409843,0.01469560130290587,-0.35293832246612655,0.021386569609788686,0.05488576071045942,-0.21899800773591674,-0.07538306381498891,0.0603374650828416,0.12811639815154213,0.06671762859154234,0.04486562080698786,0.015525355592806591
1301201,0.004512753359643185,0.040095755099642916,0.022435068699642846,0.04244906491349598,0.013204792944266908,0.04445210291683366,0.034328288827789155,0.04215326345609505,0.012510285142376287,0.044272810004282404,0.045113345987588094,0.038416260651682355,0.03225900304401208,0.05855919747963956,0.041854994470417406,0.06028725822606518,-0.3073461666614321,0.1176541574113027,0.11298403817303271,-0.18755739183194414,0.1025896749521994,0.04437165301555701,0.056436184419643265,0.0196020658196433,-0.011017502743294244,-0.10194493806967511
1301202,-0.010963632659041878,-0.10297179975904258,0.00017396054095819569,-0.004669873356868082,0.0007801377511233998,-0.11730843480689024,0.006946949977672978,3.221936568920114e-05,-0.013852456341825525,-0.11443164949253104,-0.012519344217771011,-0.017670039862844322,-0.00044952980180812396,-0.10803944064814675,0.05065093063162884,0.0071003646523497554,-0.38824787138092376,-0.08801108158667781,-0.008285057047455968,-0.2034230101917166,0.17155851728446592,0.007369858286868869,-0.13655310763904194,-0.023758478499042335,-0.03739841730445187,-0.14086968792509288
1301203,-0.07461170305015463,-0.1768187218101543,-0.07977459391015462,-0.10874677982059788,-0.01572362820143558,-0.21026625624501777,-0.0448057686987513,-0.08266799775294054,-0.09394339612453706,-0.16636156655741785,-0.09803690203499704,-0.11907943733309267,-0.13233395497335942,-0.2703936370403668,-0.1282267910211069,-0.1757267265881735,-0.5045405818639657,-0.18145223831691498,-0.06593563285658133,-0.47283567786936354,0.023241912798874886,-0.06876151689859278,-0.13388943001015485,-0.08512356697015422,-0.08902866373676807,-0.15333871992398054
1301204,-0.007590182777289928,0.06722587948271011,-0.01026399138928985,0.0034695831979696945,-0.011291019947217068,0.04056846739849104,-0.00475672387705528,0.0013024709969913228,-0.005280289806238181,0.07073652239878112,-0.0076014857707148165,0.0036313242595281403,-0.02613112514388867,0.12233224798348163,-0.012370055884119241,-0.013402763436205861,-0.1699979532993109,0.1571060804957486,0.055112590633001446,-0.1904418894597366,-0.12786061106523544,-0.014018683469019355,-0.004377896037289775,-0.01825083803329,0.031112030178817803,-0.0025321684666232613
1301205,-0.0009890536668815952,-0.016603806436881724,-0.007836164726881645,0.009820277438212427,0.012677876791870352,-0.05783125398010014,-0.01613020804992782,0.03509765952813815,0.006262642473230662,-0.008486290247559009,-0.002423969756529032,0.01316158657066191,0.0006789118345851275,0.01897429893672553,-0.0007196228821281792,-0.007767382485239477,-0.2586682647429157,-0.022645691511416294,0.025558578252815906,-0.19116713524117762,-0.17518384474167328,-2.9386606581444097e-05,0.006455291695118437,-0.013789823574881815,0.022554108592326885,-0.005348880186997121
1301206,0.014664230221166932,0.1800841271831672,0.026211440781167078,0.018461800369551584,0.003815362271230943,0.15681387953449227,0.02589218235633335,0.018152582201451453,0.013089803378580026,0.18275886323106483,0.024072484831892588,0.01860902834984106,-0.03250067981940872,0.0790215253415678,-0.025224448870776607,-0.0036887054987914322,-0.16283138292097013,0.17016480368923476,0.04158966346310129,-0.1618563553905294,-0.06467895030709098,0.007320344770140486,0.08981497912716706,0.02585702292716699,0.02846610300136672,0.01647013402041921
1301207,-0.05730727099863325,-0.010699876628633365,-0.056172857738633036,-0.06448644102612619,-0.06034162717920877,-0.03674822952195056,-0.05465465447879925,-0.062174800584513995,-0.051403070835107145,-0.01703816971099409,-0.04760811769515208,-0.05697258684611359,-0.07613490804511175,-0.04574384137868723,-0.07837238073168581,-0.07287895756568091,-0.34054177220693843,-0.054539539075673604,-0.05362059189967611,-0.31761843359210756,-0.22227933305887207,-0.062089844387167276,-0.008282029950633263,-0.05956769561863329,-0.0364158862307122,-0.0849770027322229
1301208,-0.008074886971660422,0.09914595559433959,-0.004819607205660409,-0.021889888475671138,-0.0032774250115422676,0.06412692271956769,-0.003030045023219713,-0.017605095536306098,-0.009719643613600892,0.09507775241919852,-0.006584281024455463,-0.014349641751712772,-0.03483267777449675,0.021932225167703767,-0.036929445054930274,-0.02556180512069564,-0.2826379906705351,0.03154077859056223,-0.0297936657837711,-0.22956984948078213,-0.1484778867924529,-0.024518143463139325,0.06755929235233968,-0.0026267971036604554,0.006393917453769973,-0.0052479999937786485
1301209,-0.0457831030529377,-0.12212921011293848,-0.016794630412938105,-0.12216755207008145,-0.03993220740523379,-0.11668876156820424,-0.04139915301172109,-0.09262755150465413,-0.019476860936024853,-0.12185746710980538,0.0061481488781298665,-0.11124668221370382,-0.14912162900248854,-0.14764187693758374,-0.15421630124072788,-0.11690973883868572,-0.4004027696208746,-0.11201111027613087,-0.12342384312609145,-0.3190826428187338,-0.16916004886988417,-0.08630296041312613,-0.11873903491293791,-0.028084180812938786,-0.14561987678520383,-0.22003161913901567
1301210,0.0200776927905586,0.01824652327055898,0.027207987550558865,-0.00292585557438535,0.014950100706797476,0.005625106276840375,0.030093052258954534,0.003947951081556489,0.013042589911753222,0.013644625563268176,0.02206494865902353,-0.015205996987119275,-0.029243853012135,-0.037758597504688185,-0.012128653952151847,-0.013544370080615264,-0.24062829115442658,-0.006504109806494185,0.06506802990748761,-0.14368100865828587,0.09044257112750187,0.020628804293413294,0.004652538770558712,0.01161069361055811,-0.018738432616286445,-0.08669069027219665
1301211,0.05421665358806527,0.07759844996806509,0.05388394480806524,0.03332148826194667,0.053719905209879515,0.03968398704742873,0.034626308123228894,0.030136785844977226,0.05691242791031337,0.06602801715385892,0.05048160652952119,0.041446759597186494,0.019455942668984677,0.05263310593624215,0.01900818897922263,0.021638006964591838,-0.30685206834402223,0.01485761811660341,0.04375230143937969,-0.22834088389225876,-0.12809287859287868,0.04230687794050486,0.07674102942006505,0.048478993368065465,0.052505118584318555,0.018385924530655757
1301212,-0.11240965618417853,-0.19493730426417905,-0.10099088090417918,-0.15004981306880327,-0.1130578859358915,-0.18730984106397708,-0.08249849451111302,-0.13518534523102987,-0.11424473957653458,-0.2034307358733144,-0.1033094965526905,-0.1479722293223666,-0.1775144433308226,-0.28783475286355154,-0.17595433437327507,-0.17885547465682017,-0.486586622596999,-0.17880228657569852,-0.10979835252952674,-0.4504030932626776,-0.04626567164179107,-0.1214621530758262,-0.15911241748417904,-0.1063549651641793,-0.15730714060366155,-0.22586847798526288
1311001,0.10919768751451073,0.08401864699651049,0.10379576923451025,0.10229766941226234,0.10954784660544739,0.08786226937511779,0.11394421640628918,0.10481444858516356,0.09417812786747584,0.06906181508492767,0.08378904586463556,0.10442178860540755,0.07346557075332102,0.09944631649828892,0.07666605035507434,0.08936651684936789,-0.239072580418978,0.0807869184884503,0.11140164117061788,-0.11842453014360929,-0.07291899506926518,0.10037731949333564,0.10119990388251074,0.10931433445451041,0.11678004271967803,0.08235347273608204
1311002,0.10080817993966308,0.09508693351766308,0.1030626163856632,0.1043712160276455,0.0892913551208543,0.09698148359306609,0.09278596668866503,0.10175306870432817,0.09093593020050784,0.09703082299831452,0.08530008719350084,0.10809145414689274,0.08240285204372912,0.1564193018159581,0.08931842368527192,0.09845516236654618,-0.19252251527411185,0.13009791896854395,0.09424739095882272,-0.03508759012048378,-0.077653451551615,0.09728822895399454,0.10512476985766299,0.1003724065076632,0.14303369230777024,0.1047161695510149
1311003,-0.09826912952690525,-0.1265512752069053,-0.10475238214690497,-0.10695016523485801,-0.07687409740250056,-0.14451031412555132,-0.10173798500138159,-0.1009236273144199,-0.09757586575615174,-0.1193399476494979,-0.10327937006962701,-0.11095935089551173,-0.14610993758254548,-0.17025805129695498,-0.1438682749728038,-0.1461915939632787,-0.41642921748369943,-0.12245155478703856,-0.11680927297527416,-0.28195842244631786,-0.2431376118481951,-0.10113562020419897,-0.12675793044690548,-0.11380781114690514,-0.09255202534701676,-0.15583231739513576
1311004,0.06114933566641506,0.03606578055641524,0.05416041124641485,0.04177511294747269,0.06556232706447346,0.02292573273211626,0.042158949840954585,0.03938471330118834,0.05420333901763025,0.03510438831725482,0.04119145751936004,0.04456624482913202,0.032792694411943685,0.06605709401462834,0.03304524731510411,0.03390188241713438,-0.2545862909076252,-0.023365426122992666,0.027906695206149218,-0.10553750579626903,-0.13481106918238994,0.04770205157408189,0.06862171159041519,0.05293298478641495,0.07718425036314874,0.030601207563653587
1311005,0.10176676481467747,0.13370722066267737,0.10783785011267755,0.07414718552138574,0.11610543532140366,0.15968687276109927,0.11547635005500029,0.07608763273762731,0.09381770679993004,0.13687471480518038,0.0913571020806433,0.07851437484956744,0.044778304528621554,0.16070320832874851,0.041289126124100545,0.055624276322332133,-0.28452899204264104,0.23005481958698404,0.09048820465115867,-0.09259688766805696,-0.1191660705160961,0.08553089941910888,0.1460026028726778,0.11014435252467783,0.10865349184721708,0.06463117005774985
1311006,0.0015537098908092184,0.05070716210080939,-0.006805056009190957,-0.01562566020923567,0.0037479144310422763,0.06497359804443315,-0.011637768236563983,-0.011671263259511122,-0.002655224051465621,0.047362997294495224,-0.0051980543763189835,-0.011512128726493154,-0.012836459556376856,-0.02840471352314322,-0.01907444930978297,-0.014730819566522002,-0.30928378828535064,0.06947799286999629,0.02159928470932926,-0.14623170276961733,-0.20712480602970515,-0.013057265705833543,0.039902525990808846,-0.008447999469190837,0.013516163170570507,-0.030102841987856663
1311007,0.03605161147167188,0.09813031877767203,0.03947552580967176,0.03463068724212559,0.018481473690659944,0.11286188573936934,0.024000363693798987,0.029929014442110213,0.034948921402840505,0.08593192477875566,0.036968572184950754,0.03169570931485177,0.018380741927668448,0.10873600208281048,0.01968305799955536,0.026093938239071773,-0.23203371959228608,0.10047299463535364,0.035386226845779634,-0.09967223974696471,-0.14296436427628686,0.025751222501828902,0.08417741594167183,0.04140742248167173,0.0784189968102146,0.054546247220598164
