muni,yhat_1,yhat_2,yhat_3
1211189,0.3219491,0.24661936,0.30925763
1211191,0.31527266,0.2763329,0.40924653
1211192,0.5185491,0.5278886,0.47404596
1211193,0.63530713,0.60173935,0.6072792
1211194,0.35594767,0.36188278,0.33618844
1211195,0.69962406,0.65577304,0.7326181
1211197,0.32883662,0.36062407,0.37472105
1211199,0.28560168,0.34023046,0.41978484
1211200,0.58191603,0.52759236,0.5555222
1211202,0.6761119,0.48108065,0.6137928
1211203,0.34664237,0.37313724,0.39412314
1211204,0.33150497,0.38919964,0.3734199
1211205,0.27071846,0.29349294,0.33972898
1211206,0.45381114,0.47027922,0.44034392
1211207,0.33886048,0.37910944,0.4221248
1211208,0.25677165,0.25388578,0.2939789
1211209,0.3866144,0.51153195,0.4525362
1211210,0.4403443,0.44099963,0.54784054
1211211,0.15748905,0.21627444,0.22762513
1211212,0.554316,0.49832207,0.5514864
1211213,0.70132804,0.67702407,0.61664116
1211214,0.29179856,0.23395792,0.27174762
1211215,0.52330464,0.509406,0.5599162
1211216,0.74996394,0.73309183,0.7878489
1221001,0.34819722,0.33735728,0.37441438
1221002,0.44393697,0.54204273,0.39574438
1221003,0.3355098,0.29628125,0.29803985
1221004,0.3204289,0.29668087,0.28007475
1221005,0.25221452,0.19601569,0.2508862
1221006,0.06592406,0.07393635,0.083418995
1221007,0.20626044,0.17630765,0.24079858
1221008,0.25221452,0.23325492,0.2511627
1221009,0.22993158,0.2293217,0.22697279
1221010,0.40193763,0.4581194,0.3758416
1221011,0.08476836,0.07342331,0.0957843
1221012,0.17869891,0.14917946,0.21292703
1221013,0.43028805,0.37693155,0.34388646
1221014,0.09884102,0.06080812,0.07154364
1221015,0.26375064,0.28469783,0.27970085
1221016,0.08948315,0.09870281,0.0893476
1221017,0.15893365,0.10307438,0.19464524
1221018,0.28486112,0.29343283,0.30501235
1231001,0.06025181,0.07393635,0.054009575
1231002,0.30929092,0.3277841,0.24274324
1231003,0.13428614,0.15707047,0.12358162
1231004,0.12907192,0.16592453,0.12664218
1231005,0.063895576,0.091853306,0.09230497
1231006,0.35693547,0.36704892,0.32675874
1231007,0.3862075,0.32308412,0.31230342
1231008,0.16761078,0.12859215,0.13894318
1231009,0.14131896,0.13458309,0.11718901
1231010,0.3453993,0.33986098,0.30428755
1241001,0.33320355,0.3616059,0.34586
1241003,0.6155213,0.664714,0.5636849
1241004,0.55096126,0.49789843,0.43604696
1241005,0.25596932,0.2500835,0.28783017
1241006,0.44906002,0.47454405,0.35966513
1241007,0.22730409,0.16310976,0.21950895
1241008,0.21816824,0.19236009,0.2550854
1241009,0.18384334,0.16749799,0.17567463
1241010,0.38028458,0.35228452,0.35559303
1241011,0.15059403,0.13587801,0.18189286
1241012,0.5090094,0.5907626,0.504037
1241013,0.15177497,0.14999272,0.13532847
1241014,0.65924305,0.61661017,0.58202493
1241015,0.2831289,0.27744398,0.22037736
1241016,0.21031156,0.21697666,0.2087588
1241017,0.47487992,0.475126,0.44282755
1241018,0.5417489,0.5404864,0.480065
1241020,0.1216062,0.14066617,0.14567254
1241021,0.32094383,0.30035463,0.29847005
1241022,0.36308748,0.27599427,0.25236997
1241023,0.319443,0.4523268,0.30910793
1241024,0.16202684,0.15635201,0.24136336
1241025,0.28418013,0.21127889,0.27012947
1241026,0.68774337,0.6113058,0.6190316
1241027,0.25946498,0.37103844,0.2895916
1241028,0.11116273,0.0761971,0.1051789
1241029,0.574864,0.7104144,0.5085815
1241031,0.5577778,0.672865,0.6772916
1241032,0.36200294,0.332566,0.2856487
1241033,0.38140157,0.37952602,0.39683843
1241034,0.441173,0.3921174,0.34895498
