OID_,ADM2_PCODE,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
2021,MX18016,2021,4068.000000000000000,0.070625001130000,0.222907721996307,24.697664260864258,24.474756538867950,0.486910200924149,1.117076172877125,1980.750697359437027,0.293039083480835,0.579998850822449
2022,MX21156,2022,2717.000000000000000,0.047170139643611,0.225944995880127,48.955322265625000,48.729377269744873,3.268237062229109,7.515136958877703,8879.800098076490031,0.530417442321777,8.335272789001476
2023,MX30159,2023,435.000000000000000,0.007552083454167,0.283120989799500,7.825440883636475,7.542319893836975,0.745098897917517,0.797871266370822,324.118020594119969,0.541957795619965,1.220951390266419
2024,MX21157,2024,2415.000000000000000,0.041927084004167,0.213022485375404,9.078954696655273,8.865932211279869,0.378707643059964,0.529001090822427,914.578957989812579,0.272433787584305,0.449771320819855
2025,MX15082,2025,3301.000000000000000,0.057309028694722,0.220735132694244,14.975330352783203,14.754595220088959,0.538082609295628,0.957235135291572,1776.210693284868057,0.339010089635849,0.738436341285706
2026,MX31077,2026,995.000000000000000,0.017274305831944,0.213318407535553,5.715794563293457,5.502476155757904,0.311592964820527,0.384278530494442,310.034999996423949,0.251741379499435,0.311987853050232
2027,MX31078,2027,402.000000000000000,0.006979166778333,0.262520790100098,8.093071937561035,7.830551147460938,0.590306376862289,0.968062930621969,237.303163498640203,0.331512778997421,0.868311321735383
2028,MX31079,2028,13758.000000000000000,0.238854170488333,0.175278231501579,27.484447479248047,27.309169247746468,0.324989928812903,0.892792859617854,4471.211440607920849,0.229456514120102,0.317690807580948
2029,MX31080,2029,1404.000000000000000,0.024375000390000,0.214961886405945,13.693882942199707,13.478921055793762,0.404408552463662,0.948045075829402,567.789607658981140,0.267095088958740,0.340138998627663
2030,MX31081,2030,1352.000000000000000,0.023472222597778,0.185947239398956,6.960943222045898,6.774995982646942,0.270145345622531,0.383256665475604,365.236507281662057,0.219725281000137,0.273444020748138
2031,MX31082,2031,294.000000000000000,0.005104166748333,0.259038865566254,9.246658325195312,8.987619459629059,0.692524430196301,1.218320007953111,203.602182477712489,0.340974152088165,0.981439810991287
2032,MX31083,2032,328.000000000000000,0.005694444535556,0.244353026151657,11.624199867248535,11.379846841096878,0.697910730295428,1.377729464535435,228.914719536900350,0.287624090909958,1.352979981899262
2033,MX12058,2033,4971.000000000000000,0.086302084714167,0.201240047812462,9.383980751037598,9.182740703225136,0.387834587034937,0.518793353432021,1927.925732150673866,0.281571954488754,0.486852109432220
2034,MX15083,2034,147.000000000000000,0.002552083374167,0.955577611923218,26.247821807861328,25.292244195938110,4.678382624574258,4.938879613385812,687.722245812415963,2.475903511047363,11.681446075439453
2035,MX15084,2035,815.000000000000000,0.014149305781944,0.833431243896484,19.212392807006836,18.378961563110352,3.070078944136027,3.166417638634837,2502.114339470861978,1.815647244453430,7.331872272491458
