HID_mun,fgt0_bias_reg,fgt0_mse,simulation,method_des
1161086,-.15738569,.0247986476509084,15,XGBoost(hh) Mun
1161087,-.10785791,.011642787834603,15,XGBoost(hh) Mun
1161088,-.15663546,.0245430374936554,15,XGBoost(hh) Mun
1161089,-.11248191,.012660823861065,15,XGBoost(hh) Mun
1161090,-.12921458,.016800868185449,15,XGBoost(hh) Mun
1161091,-.090025418,.0081246521442773,15,XGBoost(hh) Mun
1161092,-.26654476,.0711170340225216,15,XGBoost(hh) Mun
1161093,-.20964003,.0440596778989546,15,XGBoost(hh) Mun
1161094,-.22908626,.0524908123394664,15,XGBoost(hh) Mun
1161095,-.085916325,.0073955411272617,15,XGBoost(hh) Mun
1161096,-.24781263,.0615229074806305,15,XGBoost(hh) Mun
1161097,-.26518974,.0703646611511891,15,XGBoost(hh) Mun
1161098,-.24300534,.0590851678346817,15,XGBoost(hh) Mun
1161099,-.32077846,.102975894460303,15,XGBoost(hh) Mun
1161100,-.16809469,.0284071985644712,15,XGBoost(hh) Mun
1161101,-.35308146,.1248154058054987,15,XGBoost(hh) Mun
1161102,-.086485684,.0074929987055036,15,XGBoost(hh) Mun
1161103,-.17172113,.0295053819437225,15,XGBoost(hh) Mun
1161104,-.23599932,.055736775739481,15,XGBoost(hh) Mun
1161105,-.17126065,.0293493549338981,15,XGBoost(hh) Mun
1161106,-.20956457,.0439497177341097,15,XGBoost(hh) Mun
1161107,-.18152487,.0329662123276192,15,XGBoost(hh) Mun
1161108,-.062400617,.0039103439228418,15,XGBoost(hh) Mun
1161109,-.22653908,.051344180766859,15,XGBoost(hh) Mun
1161110,-.28864428,.0833311524766113,15,XGBoost(hh) Mun
1161111,-.063377336,.004070386764636,15,XGBoost(hh) Mun
1161112,-.16686523,.0278655874274595,15,XGBoost(hh) Mun
1161113,-.42694685,.1823050532055045,15,XGBoost(hh) Mun
1171001,-.13064395,.0170930645734924,15,XGBoost(hh) Mun
1171002,-.14136168,.0200216310010183,15,XGBoost(hh) Mun
1171003,-.30230084,.0914199920055998,15,XGBoost(hh) Mun
1171004,-.13787879,.0190264752082653,15,XGBoost(hh) Mun
1171005,-.1682177,.0283394311049101,15,XGBoost(hh) Mun
1171006,-.088644207,.0078633251620864,15,XGBoost(hh) Mun
1171007,-.067237511,.0045252597178993,15,XGBoost(hh) Mun
1171008,-.078381725,.0061515051074308,15,XGBoost(hh) Mun
1171009,-.046877068,.0022725444735537,15,XGBoost(hh) Mun
1171010,-.15497884,.024035378751432,15,XGBoost(hh) Mun
1171011,-.051713239,.002678177131857,15,XGBoost(hh) Mun
1171012,-.088866755,.0079039807550887,15,XGBoost(hh) Mun
1171013,-.18760695,.0352178242734343,15,XGBoost(hh) Mun
1171014,-.12445869,.0155039741765164,15,XGBoost(hh) Mun
1171015,-.15246353,.023312527022389,15,XGBoost(hh) Mun
1171016,-.2536113,.0643776480915085,15,XGBoost(hh) Mun
1171017,-.084918767,.0072475435101025,15,XGBoost(hh) Mun
1171018,-.10140551,.0102933541972146,15,XGBoost(hh) Mun
1171019,-.25905654,.0671380854931043,15,XGBoost(hh) Mun
1171020,-.052777052,.0028214731241726,15,XGBoost(hh) Mun
1171021,-.16572948,.0274813798591241,15,XGBoost(hh) Mun
1171022,-.24943329,.0623133490994812,15,XGBoost(hh) Mun
1171023,-.13157459,.0174814353890054,15,XGBoost(hh) Mun
1171024,-.11544132,.0133441651741793,15,XGBoost(hh) Mun
1171025,-.14972503,.0224422519490159,15,XGBoost(hh) Mun
1171026,-.12636904,.0159997618318877,15,XGBoost(hh) Mun
1171027,-.15300176,.0234542427383414,15,XGBoost(hh) Mun
1171028,-.090215959,.0081623692276868,15,XGBoost(hh) Mun
1171029,-.081921279,.0067228378319103,15,XGBoost(hh) Mun
1171030,-.10789923,.0116611303231194,15,XGBoost(hh) Mun
1171031,-.12203819,.014897840675325,15,XGBoost(hh) Mun
1171032,-.2143278,.0459749557974057,15,XGBoost(hh) Mun
1171033,-.17850432,.0319070751016874,15,XGBoost(hh) Mun
1181001,-.16756713,.0280952867076501,15,XGBoost(hh) Mun
1181002,-.14423946,.0208135744884622,15,XGBoost(hh) Mun
1181003,-.16590996,.0275369330241916,15,XGBoost(hh) Mun
1181004,-.080323257,.0064579743146235,15,XGBoost(hh) Mun
1181005,-.21377508,.0458266387350862,15,XGBoost(hh) Mun
1181006,-.088568449,.0078498437172502,15,XGBoost(hh) Mun
1181007,-.19816549,.0393574504814568,15,XGBoost(hh) Mun
1181008,-.068858445,.0047442174315511,15,XGBoost(hh) Mun
1181009,-.032889549,.0013212220815496,15,XGBoost(hh) Mun
1181010,-.19498236,.0380471955167537,15,XGBoost(hh) Mun
1181011,-.17106909,.0292976829398066,15,XGBoost(hh) Mun
1181012,-.13034937,.0170090920719841,15,XGBoost(hh) Mun
1181013,-.12620465,.0159383869781786,15,XGBoost(hh) Mun
1181014,-.10478991,.0109948186641513,15,XGBoost(hh) Mun
1181015,-.11149058,.0124470851980965,15,XGBoost(hh) Mun
1181016,-.18477173,.0341588223659864,15,XGBoost(hh) Mun
1181017,-.05235818,.0027448630623154,15,XGBoost(hh) Mun
1181018,-.13586311,.0184687581679966,15,XGBoost(hh) Mun
1181019,-.14313027,.0206472640323206,15,XGBoost(hh) Mun
1181020,-.040641781,.0016558405700403,15,XGBoost(hh) Mun
1191001,-.015653444,.0002693181473666,15,XGBoost(hh) Mun
1191004,-.027558059,.0007618144059945,15,XGBoost(hh) Mun
1191005,-.13946743,.0194601642497852,15,XGBoost(hh) Mun
1191006,-.025812432,.0006665015135803,15,XGBoost(hh) Mun
1191007,-.22842366,.0522761662350644,15,XGBoost(hh) Mun
1191008,-.12580605,.0158340988403262,15,XGBoost(hh) Mun
1191009,-.030491853,.0009316817566622,15,XGBoost(hh) Mun
1191010,-.026973616,.000729887987653,15,XGBoost(hh) Mun
1191011,-.080395609,.0064659790463581,15,XGBoost(hh) Mun
1191012,-.031555921,.0009984832513903,15,XGBoost(hh) Mun
1191013,-.047101311,.0022281888341185,15,XGBoost(hh) Mun
1191014,-.1882384,.0356728762718487,15,XGBoost(hh) Mun
1191016,-.081319802,.0066279499851002,15,XGBoost(hh) Mun
1191017,-.23047534,.0532014380886081,15,XGBoost(hh) Mun
1191018,-.032132696,.001036062548651,15,XGBoost(hh) Mun
1191019,-.024175689,.0005858362101573,15,XGBoost(hh) Mun
1191020,-.024432577,.0006109581028857,15,XGBoost(hh) Mun
1191021,-.019658821,.0003898863826093,15,XGBoost(hh) Mun
1191022,-.05894449,.0034901773611827,15,XGBoost(hh) Mun
1191025,-.028736919,.0008288117210654,15,XGBoost(hh) Mun
1191026,-.033859298,.0011471020660169,15,XGBoost(hh) Mun
1191029,-.1280289,.0163968315897923,15,XGBoost(hh) Mun
1191030,-.15696773,.0246997751030126,15,XGBoost(hh) Mun
1191031,-.030886993,.0009554676765279,15,XGBoost(hh) Mun
1191032,-.120275,.0144738991787479,15,XGBoost(hh) Mun
