HID,poor,gap,gap2,e_y,hhsize
1211189104,.4854838709677419,.1389632076793914,.0604155714262137,983.1645173349688,620
1211189105,.3228173147468819,.1064452660973054,.0543400844158391,1113.63756324505,1363
1211189106,.2589531680440771,.069831631539233,.0304570355606142,1268.725436670393,1089
1211189107,.384450784593438,.0941475604720345,.0398691625898657,1147.938658473495,1402
1211191101,.1886792452830189,.0587334586977766,.0290199043990803,2108.081277722717,689
1211191102,.2444444444444444,.0826114267938667,.0427390748286982,1532.762220848931,900
1211191103,.3427362482369535,.1399993868070375,.0818771539952019,1379.617774963411,1418
1211191104,.6374859708193041,.3000161313960017,.1908030390221754,826.5892285220116,891
1211192101,.4241030358785648,.2132160678106583,.1375528482933958,1247.974238180879,1087
1211192102,.5459662288930581,.2470063580374772,.1427605636650652,919.8348989195754,1599
1211193101,.5204616998950682,.1923447848159741,.0984829964945266,846.0577158492609,953
1211193102,.6230580539656582,.2738967783665243,.1616356530250329,713.4415392592086,1223
1211193103,.2317784256559767,.0863478286692653,.0481670525910465,1378.379008101348,1372
1211194101,.2639484978540773,.0995812287431484,.0541546101994892,1432.596566272609,1398
1211194102,.3139820114472608,.101536859617153,.0492618784984667,1323.591987179448,1223
1211194103,.239193083573487,.0748916665376383,.0388045599028744,1501.412105527323,1041
1211194104,.1787234042553192,.0528009922671543,.0230003008032512,2140.799995081476,940
1211194105,.2543171114599686,.0790424637476917,.0421562938854918,1568.373624469272,1274
1211194106,.4011627906976744,.1407307664722871,.0672236726970216,1370.189923131189,516
1211194107,.3365253077975376,.092220590381828,.0365882089646238,1184.878248097306,731
1211194108,.41,.1304011270806586,.0666553042380276,1062.731252012253,800
1211195101,.4723011363636364,.1639574975952614,.079286091560663,1012.600142907013,1408
1211195102,.4086330935251798,.1567271637249145,.0841980479596911,909.1251788352462,695
1211195103,.6616294349540078,.3435695088245643,.2301379530325305,689.9415251323157,1522
1211195104,.6635514018691588,.2916245403757043,.1663429462254875,686.4944766424882,1177
1211195105,.5444330949948928,.2231964625969821,.1295698500785376,853.3289108979111,979
1211195106,.5545602605863192,.2479721543743921,.1486711997769098,815.9022837338138,1228
1211195107,.6534541336353341,.2955288395618768,.1699336541505814,668.6964919716879,883
1211195108,.6835555555555556,.3280132777975458,.2068456110328677,603.1884427085585,1125
1211195109,.707936507936508,.3025738246092852,.1713922849164051,694.330159008775,1260
1211195110,.6270358306188925,.3321602027195867,.2177539610427938,684.5602612326024,614
1211195111,.8344262295081967,.4642146703466529,.3105186519020268,441.6114757852476,1220
1211195112,.668,.3455354570297835,.226382938667724,624.2353325248857,1500
1211197101,.2470588235294118,.0872238139172611,.0445805758920715,1487.579086353576,765
1211197102,.1114130434782609,.0160546644752764,.0031551688795013,2396.255437104599,368
1211197103,.2685475444096134,.0945751307240058,.0487746932147362,1570.173463771585,957
1211197104,.2676190476190476,.0796139894395656,.0362331442201729,1595.577143947056,1050
1211197105,.1875,.0666919342102483,.0343386448417004,1989.198749656677,800
1211197106,.2105997210599721,.0590197581187267,.0252843437437648,1524.912137806997,717
1211197107,.2481132075471698,.0796523031620485,.0357517019417225,1508.234907718874,1060
1211197108,.3632567849686847,.1340255339148287,.0662324339101816,1286.9575494303,1437
1211197109,.414406779661017,.1308041427626326,.0556439731394132,1044.07034050893,1180
1211197110,.2836304700162074,.0924996731129612,.0415616540968074,1540.123179332171,617
1211197111,.3266171792152704,.1148758181000439,.0563570583397957,1390.831388196409,943
1211197112,.3652892561983471,.1217971422821851,.0540622936016778,1523.567771154987,1210
1211197113,.3668449197860962,.110678233517045,.0421126041814117,1045.108019497305,935
1211199101,.2559726962457338,.0785874422232751,.0344489127289863,1238.304609018788,1172
1211199102,.2320441988950276,.072279962622358,.0349676520882251,1353.052488579955,1448
1211199103,.3843137254901961,.1223103297808135,.062918661270638,1060.722548062267,1020
1211199104,.2829113924050633,.0718844521629198,.028231466912993,1196.417091582112,1580
1211199105,.308256880733945,.0987000272303303,.0491483509052978,1102.587157853153,1090
1211199106,.3548780487804878,.0873646313626966,.0342865492687118,1084.508537552996,820
1211199107,.3742098609355247,.1078351211662221,.0492071560829406,1057.102403874644,791
1211199108,.3259574468085106,.1019434804616724,.0520265167275621,1022.451916094866,1175
1211199109,.4813167259786477,.1723642487388742,.0814325470297685,814.6343407410319,1124
1211199110,.3660179640718563,.1017684834807946,.0431419195410968,1018.764969557345,1336
1211200101,.4813863928112965,.1984030513406106,.1033106170157126,1227.842105380684,779
1211200102,.6359901396877568,.3180755617479603,.1953204568622213,746.6713249219448,1217
1211202101,.6059365404298874,.248995086893119,.1337252384923425,788.447288259391,977
1211202102,.5501412429378532,.2350433411872375,.128884095825673,959.1052282139827,1416
1211202103,.779379157427938,.3332700877137557,.1775368919707075,566.8747233963859,902
1211202104,.7375145180023229,.3289560064215301,.1885929382585964,574.9291524456146,1722
1211203101,.5389182058047494,.1998659287657339,.1052207882181308,831.9544888574993,1516
1211203102,.5222830336200156,.2414290777553811,.1514977962265995,820.6630180007993,1279
1211204101,.2786144578313253,.0947495735372395,.0425581390088572,1541.212350109996,1328
1211204102,.412291933418694,.1503322930696433,.0737382479957553,1296.924451058733,781
1211204103,.5592972181551976,.2245764775356955,.1243735041692072,854.1625180894381,683
1211204104,.4120781527531083,.1319962766632877,.061320166928892,1138.213146541724,1126
1211205101,.3225806451612903,.094919812172491,.0429791807322388,1194.538306682341,992
1211205102,.3356299212598425,.1199547955777206,.0642826281267116,1051.562011104869,1016
1211205103,.4,.1419704430787133,.0739400851851974,1105.46739609272,1365
1211205104,.2460992907801418,.0921397041329199,.0520969146609633,1408.773050489525,1410
1211205105,.1830882352941176,.0692249951508797,.0403013483666957,1564.553674532418,1360
1211205106,.3445454545454545,.1261982764584668,.0676814625164026,1204.065450765436,1100
1211205107,.3637660485021398,.1393994121631392,.0765508756806193,1161.365906251544,1402
1211206101,.5076233183856502,.2254283616666718,.1363574383924171,977.0591913266701,1115
1211206102,.4406215316315205,.1782513706648095,.1014242005510796,1078.681467079561,901
1211206103,.5407303370786517,.2502987254941964,.1604768763579723,833.547752734148,712
1211207101,.1666666666666667,.0527175934068068,.0228914689424996,2324.308712034514,1056
1211207102,.228789323164919,.0808285825359355,.0414179991730964,1703.330792277057,1049
1211207103,.4637223974763407,.1882371546563845,.1023554174917796,1098.058361907863,1268
1211207104,.4031209362808842,.1381761623350134,.0728276853900097,1122.855655327904,769
1211207105,.5880322209436134,.235301136894629,.1245350306235375,769.5362480611673,869
1211207106,.6249149081007488,.2827311796229317,.1599807069626007,703.4805995508106,1469
1211207107,.4872311827956989,.1757035220661462,.0871529052671949,932.9455668644239,1488
1211207108,.3040712468193384,.1105487632586528,.0543052748047969,1281.81170733893,786
1211207109,.2965260545905707,.103416892461867,.0492743680128832,1245.732008221723,806
1211207110,.4576719576719577,.1652538481927253,.0797541751192643,1311.420636737157,1134
1211208101,.1476976542137272,.0379127680416968,.0172994603550255,2523.727197118472,1151
1211208102,.1255924170616114,.0325685728848796,.0138926962769137,2530.347159760823,844
1211208103,.1022900763358779,.0259634571853769,.0105219154112322,2581.803057488594,655
1211208104,.216012084592145,.0572411774122983,.0253228167484033,1830.534748757354,662
1211208105,.186106346483705,.0577782219930593,.0265494707670644,1579.087480208068,1166
1211208106,.2762237762237762,.0965958048778397,.0478320682314409,1500.031472977503,858
1211208107,.3005865102639296,.097858860068113,.0475581107454182,1399.397356413687,1364
1211208108,.4517593643586833,.1973445495294508,.110471120689275,1138.766181495485,881
1211208109,.410989010989011,.1635625174342639,.0961168472865532,1200.613188833719,910
1211208110,.4075187969924812,.1507715250781205,.0824584305579595,1269.624057718238,665
1211208111,.548469387755102,.2392503844056016,.1338846113623178,909.9732163828246,784
1211208112,.2850182704019488,.0826019921236749,.036732886903956,1197.573687944865,821
1211208113,.437281009110021,.1733721522280084,.0927265583766787,1057.339172101315,1427
1211208114,.3349673202614379,.1219080828900974,.0623017030869852,1239.272059521644,1224
1211209101,.3259141494435612,.1242603362973182,.0677126173259388,1260.779014487347,1258
1211209102,.6767676767676768,.331938211802113,.228738782367805,801.2689372867421,792
1211209103,.3822349570200573,.1772791718659498,.1155832216719582,1124.378796068696,1745
1211210101,.3707414829659318,.1380237225062384,.0717084072069508,1442.92084596439,998
1211210102,.5679999999999999,.281891801287847,.1681487624598577,1104.928000366211,750
1211210103,.7326073805202662,.4210453025878333,.2894015728655136,664.8977625663993,1653
1211211101,.2772177419354839,.0753500069446501,.0290032564579075,1791.595763852519,992
1211211102,.2644067796610169,.1030965456770638,.0584003903569606,1819.49492341381,590
1211211103,.2162162162162162,.0762278171944189,.0406273289919235,1996.886482967342,555
1211211104,.2383638928067701,.0812458596229039,.0400185811833779,1839.383635968853,1418
1211211105,.2986472424557752,.0929307415240113,.042373262911738,1678.114466497479,961
1211211106,.4155427103403982,.1508024740144444,.0782773854874788,1103.69043127512,1557
1211212101,.5737704918032787,.2160336990147569,.1055852935639605,882.7418028618021,732
1211212102,.6449893390191898,.2580196128893847,.1388867304857735,720.5106606879976,938
1211212103,.5689778413152251,.2323648131875141,.1191644499545732,916.7269473835943,1399
1211212104,.4584474885844749,.171116174179258,.0871293669947533,986.0675803406598,1095
1211212105,.5447470817120622,.2473855285703726,.1445579299585312,817.6482492647514,1285
1211212106,.6307692307692307,.2910196722726591,.1639389033042325,737.6923086145749,910
1211213101,.5883554647599591,.222484212415608,.1070648058450397,767.8089897927274,979
1211213102,.5846817691477886,.2116425469481414,.1068454048071484,751.1488682110075,927
1211213103,.586767895878525,.2178505627034255,.1057195253208033,758.0282021148086,922
1211213104,.4261275272161742,.1606175078783028,.0824346171065942,1034.863143659862,643
1211213105,.4173410404624278,.140817775616067,.0636137328522463,1174.575725348147,865
1211213106,.4663951120162933,.1684196212626766,.0805697512771183,903.1293279799328,982
1211214101,.3098814229249012,.1060815058888549,.0487516227733884,1241.48933368125,1265
1211214102,.3321987746766508,.0977356726083744,.041764326527334,1152.842071761721,1469
1211214103,.3274278215223097,.0878524509215753,.0383014301217714,1240.639106059638,1524
1211214104,.2941176470588235,.0929827341484827,.0434065405584578,1152.727181703517,986
1211214105,.3563829787234042,.1110030038599321,.0530465907011487,1106.006382962491,940
1211214106,.2502194907813872,.079557222468718,.0391452736139487,1261.956981293877,1139
1211214107,.3012152777777778,.0954751850102487,.0451095146276079,1211.226566778315,1152
1211215101,.591672753834916,.2530216781686407,.1402165647663715,874.9357170957645,1369
1211215102,.6755555555555556,.3161626875085413,.1919619702550772,720.7805546528018,1800
1211216101,.6181818181818182,.2757844402464847,.1544030953872137,872.742727799849,1100
